,Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp,height,weight,years_played,"
							2017/18						"
124,2017,Derrick Jones,8,545,12.0,7.9,3.1,1.2,1.9,8.6,1.1,0.562,0.273,0.591,41.0,0.7070000000000001,168,Not MVP,203.0,100.0,1,"$460,625"
125,2017,Derrick Williams,22,1608,10.6,9.0,5.133333333,0.9,0.7,9.066666667,0.7333333329999999,0.44733333299999994,0.304333333,0.54,59.33333333,0.654666667,608,Not MVP,190.0,90.0,6,"$104,059"
126,2017,Devin Booker,78,2730,14.6,5.0,16.3,1.3,0.6,12.9,2.0,0.423,0.363,0.447,441.0,0.8320000000000001,1726,Not MVP,198.0,93.0,2,"$2,319,360"
127,2017,Devin Harris,0,1087,13.8,6.8,20.0,2.1,0.6,12.5,2.2,0.39899999999999997,0.32799999999999996,0.47600000000000003,129.0,0.8290000000000001,437,Not MVP,190.0,87.0,13,"$4,402,546"
131,2017,Dion Waiters,43,1384,14.5,6.2,23.8,1.5,1.1,12.5,1.6,0.424,0.395,0.43799999999999994,127.0,0.6459999999999999,729,Not MVP,193.0,102.0,5,"$12,100,000"
132,2017,Domantas Sabonis,66,1632,6.9,9.7,7.2,1.2,1.6,14.0,0.7,0.39899999999999997,0.321,0.43799999999999994,67.0,0.657,479,Not MVP,211.0,108.0,1,"$2,550,000"
134,2017,Dorian Finney-Smith,35,1642,7.7,7.8,6.0,1.6,1.4,11.1,1.4,0.37200000000000005,0.293,0.479,61.0,0.754,350,Not MVP,203.0,99.0,1,"$1,312,611"
135,2017,Doug McDermott,10,3016,10.43333333,6.4,5.6,0.36666666700000006,0.26666666699999997,6.1333333329999995,1.733333333,0.44799999999999995,0.37,0.507,56.0,0.810666667,1184,Not MVP,203.0,102.0,3,"$3,294,994"
136,2017,Dragan Bender,0,574,5.3,9.7,5.5,0.8,3.1,16.2,-0.3,0.354,0.27699999999999997,0.483,11.0,0.364,146,Not MVP,216.0,102.0,1,"$4,468,800"
137,2017,Draymond Green,76,2471,16.5,13.3,27.6,3.0,3.4,19.8,8.2,0.418,0.308,0.494,213.0,0.7090000000000001,776,Not MVP,201.0,104.0,5,"$16,400,000"
138,2017,Dwight Howard,74,2199,20.8,23.5,7.8,1.4,3.6,17.5,8.3,0.633,0.0,0.635,424.0,0.5329999999999999,1002,Not MVP,211.0,120.0,13,"$23,500,000"
139,2017,Dwight Powell,3,1333,17.6,13.3,6.1,2.4,2.6,7.2,4.6,0.515,0.284,0.5710000000000001,141.0,0.759,516,Not MVP,211.0,108.0,3,"$9,003,125"
140,2017,Dwyane Wade,59,1792,18.5,8.2,22.4,2.4,1.8,11.3,3.4,0.434,0.31,0.456,281.0,0.794,1096,Not MVP,193.0,99.0,14,"$17,878,652"
141,2017,E'Twaun Moore,22,1820,12.1,4.4,13.8,1.3,1.4,8.7,2.7,0.457,0.37,0.501,74.0,0.77,700,Not MVP,208.0,102.0,6,"$8,445,024"
144,2017,Elfrid Payton,58,2412,17.2,8.7,35.7,1.8,1.3,15.0,4.4,0.47100000000000003,0.27399999999999997,0.509,211.0,0.6920000000000001,1046,Not MVP,193.0,83.0,3,"$3,332,340"
146,2017,Emmanuel Mudiay,41,1406,10.9,7.0,21.8,1.4,0.7,16.5,0.2,0.377,0.315,0.408,167.0,0.784,603,Not MVP,196.0,90.0,2,"$3,381,480"
147,2017,Enes Kanter,0,1533,23.7,17.4,7.9,1.0,2.0,12.5,5.8,0.545,0.132,0.568,285.0,0.7859999999999999,1033,Not MVP,211.0,111.0,6,"$17,884,176"
148,2017,Eric Bledsoe,66,2176,20.6,8.0,31.1,2.0,1.2,15.3,5.4,0.434,0.335,0.47700000000000004,458.0,0.847,1390,Not MVP,185.0,86.0,7,"$14,500,000"
149,2017,Eric Gordon,15,2323,13.1,4.7,12.3,1.0,1.4,10.0,3.8,0.406,0.37200000000000005,0.46799999999999997,175.0,0.84,1217,Not MVP,193.0,97.0,9,"$12,943,020"
150,2017,Ersan Ilyasova,104,4284,12.6,12.95,8.825,1.625,1.025,13.075,2.025,0.4145,0.3275,0.5525,103.5,0.782,2142,Not MVP,208.0,106.0,9,"$6,514,288"
151,2017,Evan Fournier,66,2234,13.9,5.1,14.8,1.5,0.1,11.8,2.8,0.439,0.35600000000000004,0.491,277.0,0.805,1167,Not MVP,201.0,92.0,5,"$17,000,000"
152,2017,Evan Turner,12,1658,11.4,8.3,18.4,1.6,1.2,14.3,1.2,0.426,0.263,0.47,103.0,0.825,586,Not MVP,201.0,99.0,7,"$17,131,148"
153,2017,Frank Kaminsky,16,1954,13.0,9.5,13.5,1.2,1.5,8.0,2.3,0.39899999999999997,0.32799999999999996,0.455,156.0,0.7559999999999999,874,Not MVP,213.0,109.0,2,"$2,847,600"
154,2017,Fred VanVleet,0,294,10.5,8.1,17.5,2.9,0.6,11.1,0.3,0.35100000000000003,0.379,0.341,22.0,0.818,107,Not MVP,183.0,88.0,1,"$1,312,611"
155,2017,Garrett Temple,21,1728,11.2,6.1,14.5,2.5,1.5,14.4,2.2,0.424,0.373,0.47600000000000003,74.0,0.784,506,Not MVP,198.0,88.0,7,"$8,000,000"
156,2017,Gary Harris,56,1782,16.5,5.5,13.6,1.9,0.3,9.8,4.6,0.502,0.42,0.5579999999999999,134.0,0.7759999999999999,851,Not MVP,193.0,95.0,3,"$2,550,055"
159,2017,George Hill,49,1544,19.3,6.2,22.6,1.7,0.6,10.9,5.9,0.47700000000000004,0.40299999999999997,0.523,196.0,0.8009999999999999,829,Not MVP,190.0,85.0,9,"$20,000,000"
160,2017,Georges Niang,0,93,0.1,10.3,7.5,1.6,0.0,11.9,-0.3,0.25,0.083,0.33299999999999996,2.0,1.0,21,Not MVP,203.0,104.0,1,"$100,000"
161,2017,Georgios Papagiannis,0,355,12.7,14.0,9.0,0.4,4.4,18.2,0.4,0.5489999999999999,0.0,0.56,14.0,0.857,124,Not MVP,216.0,108.0,1,"$2,486,757"
162,2017,Gerald Green,0,538,12.0,8.8,9.8,0.8,1.1,9.1,0.6,0.409,0.35100000000000003,0.46299999999999997,41.0,0.805,262,Not MVP,201.0,92.0,10,"$1,381,403"
163,2017,Gerald Henderson,41,1667,10.8,6.1,10.5,1.2,0.7,9.0,2.1,0.423,0.353,0.455,165.0,0.8059999999999999,662,Not MVP,188.0,79.0,21,"$1,000,000"
164,2017,Giannis Antetokounmpo,80,2845,26.1,14.3,26.6,2.3,4.7,13.3,12.4,0.521,0.272,0.563,612.0,0.77,1832,Not MVP,211.0,100.0,4,"$22,471,911"
166,2017,Goran Dragic,73,2459,19.7,6.3,29.0,1.8,0.4,14.1,7.5,0.475,0.405,0.499,377.0,0.79,1483,Not MVP,190.0,86.0,9,"$17,000,450"
167,2017,Gordon Hayward,73,2516,22.2,9.0,18.2,1.5,0.6,9.4,10.4,0.47100000000000003,0.39799999999999996,0.506,429.0,0.8440000000000001,1601,Not MVP,203.0,102.0,7,"$29,727,900"
168,2017,Gorgui Dieng,82,2653,14.2,14.2,8.6,1.7,3.1,12.7,5.7,0.502,0.37200000000000005,0.511,167.0,0.8140000000000001,816,Not MVP,211.0,109.0,4,"$14,112,360"
169,2017,Greg Monroe,0,1823,21.1,17.0,17.3,2.6,1.8,14.4,5.6,0.5329999999999999,0.0,0.536,239.0,0.741,951,Not MVP,211.0,120.0,7,"$21,384,175"
171,2017,Harrison Barnes,79,2803,16.3,8.2,7.8,1.2,0.5,6.8,4.6,0.46799999999999997,0.35100000000000003,0.49200000000000005,281.0,0.861,1518,Not MVP,190.0,92.0,5,"$23,112,004"
173,2017,Henry Ellenson,2,146,7.5,15.3,7.2,0.3,0.6,17.2,-0.2,0.359,0.28600000000000003,0.44799999999999995,8.0,0.5,60,Not MVP,211.0,111.0,1,"$1,780,800"
175,2017,Ian Clark,0,1137,13.1,5.9,11.2,1.7,0.6,10.7,2.3,0.48700000000000004,0.374,0.556,58.0,0.759,527,Not MVP,190.0,79.0,4,"$1,577,230"
